[DEBUG] wav_idx=None, len(wav_list)=3, start_time=2024-03-19 06:52:59, last_processed_wav_index=0
[DEBUG] wav_idx=0, len(wav_list)=3, start_time=2024-03-19 06:53:01, last_processed_wav_index=0
[DEBUG] start_sample=44100, end_sample=573300, data_sample_num=0, len(data)=882000
[DEBUG] wav_idx=0, len(wav_list)=3, start_time=2024-03-19 06:53:01, last_processed_wav_index=0
[DEBUG] start_sample=44100, end_sample=573300, data_sample_num=0, len(data)=882000
[DEBUG] wav_idx=0, len(wav_list)=3, start_time=2024-03-19 06:53:01, last_processed_wav_index=0
[DEBUG] start_sample=44100, end_sample=573300, data_sample_num=0, len(data)=882000
[DEBUG] wav_idx=0, len(wav_list)=576, start_time=2024-09-13 00:47:15, last_processed_wav_index=0
[DEBUG] start_sample=544320000, end_sample=659520000, data_sample_num=0, len(data)=1382404960
[DEBUG] wav_idx=2, len(wav_list)=576, start_time=2024-09-13 02:02:02, last_processed_wav_index=0
[DEBUG] start_sample=1405824000, end_sample=1521024000, data_sample_num=1382404960, len(data)=1382401744
[DEBUG] wav_idx=2, len(wav_list)=576, start_time=2024-09-13 02:03:31, last_processed_wav_index=2
[DEBUG] wav_idx=3, len(wav_list)=576, start_time=2024-09-13 03:15:41, last_processed_wav_index=2
[DEBUG] start_sample=2254272000, end_sample=2369472000, data_sample_num=2073603776, len(data)=1382406832
[DEBUG] wav_idx=3, len(wav_list)=576, start_time=2024-09-13 03:33:48, last_processed_wav_index=3
[DEBUG] wav_idx=3, len(wav_list)=576, start_time=2024-09-13 03:57:47, last_processed_wav_index=3
[DEBUG] wav_idx=4, len(wav_list)=576, start_time=2024-09-13 04:44:04, last_processed_wav_index=3
[DEBUG] start_sample=3272448000, end_sample=3387648000, data_sample_num=2764806704, len(data)=1382400384
[DEBUG] wav_idx=5, len(wav_list)=576, start_time=2024-09-13 05:11:22, last_processed_wav_index=4
[DEBUG] start_sample=3586944000, end_sample=3702144000, data_sample_num=3456010608, len(data)=1382401824
[DEBUG] wav_idx=5, len(wav_list)=576, start_time=2024-09-13 05:45:14, last_processed_wav_index=5
[DEBUG] wav_idx=5, len(wav_list)=576, start_time=2024-09-13 05:59:20, last_processed_wav_index=0
[DEBUG] start_sample=4139520000, end_sample=4254720000, data_sample_num=3456010608, len(data)=1382401824
[DEBUG] wav_idx=6, len(wav_list)=576, start_time=2024-09-13 06:09:33, last_processed_wav_index=5
[DEBUG] start_sample=4257216000, end_sample=4372416000, data_sample_num=4147207088, len(data)=1382401856
[DEBUG] wav_idx=7, len(wav_list)=576, start_time=2024-09-13 07:59:29, last_processed_wav_index=6
[DEBUG] start_sample=5523648000, end_sample=5638848000, data_sample_num=4838412432, len(data)=1382397840
[DEBUG] wav_idx=8, len(wav_list)=576, start_time=2024-09-13 08:25:11, last_processed_wav_index=7
[DEBUG] start_sample=5819712000, end_sample=5934912000, data_sample_num=5529608944, len(data)=1382408080
[DEBUG] wav_idx=9, len(wav_list)=576, start_time=2024-09-13 09:37:12, last_processed_wav_index=8
[DEBUG] start_sample=6649344000, end_sample=6764544000, data_sample_num=6220810272, len(data)=1382404048
[DEBUG] wav_idx=12, len(wav_list)=576, start_time=2024-09-13 12:41:45, last_processed_wav_index=0
[DEBUG] start_sample=8775360000, end_sample=8890560000, data_sample_num=8294417056, len(data)=1382402960
[DEBUG] wav_idx=13, len(wav_list)=576, start_time=2024-09-13 13:06:54, last_processed_wav_index=12
[DEBUG] start_sample=9065088000, end_sample=9180288000, data_sample_num=8985615232, len(data)=1382407008
[DEBUG] wav_idx=13, len(wav_list)=576, start_time=2024-09-13 13:11:10, last_processed_wav_index=13
[DEBUG] wav_idx=13, len(wav_list)=576, start_time=2024-09-13 13:38:27, last_processed_wav_index=13
[DEBUG] wav_idx=13, len(wav_list)=576, start_time=2024-09-13 13:46:28, last_processed_wav_index=13
[DEBUG] wav_idx=13, len(wav_list)=576, start_time=2024-09-13 13:49:39, last_processed_wav_index=13
[DEBUG] wav_idx=14, len(wav_list)=576, start_time=2024-09-13 14:20:53, last_processed_wav_index=13
[DEBUG] start_sample=9917376000, end_sample=10032576000, data_sample_num=9676820016, len(data)=1382401104
[DEBUG] wav_idx=15, len(wav_list)=576, start_time=2024-09-13 15:12:30, last_processed_wav_index=14
[DEBUG] start_sample=10512000000, end_sample=10627200000, data_sample_num=10368022240, len(data)=1382399776
[DEBUG] wav_idx=15, len(wav_list)=576, start_time=2024-09-13 15:45:30, last_processed_wav_index=15
[DEBUG] wav_idx=16, len(wav_list)=576, start_time=2024-09-13 16:18:49, last_processed_wav_index=15
[DEBUG] start_sample=11275968000, end_sample=11391168000, data_sample_num=11059221120, len(data)=1382402048
[DEBUG] wav_idx=16, len(wav_list)=576, start_time=2024-09-13 16:22:53, last_processed_wav_index=16
[DEBUG] wav_idx=16, len(wav_list)=576, start_time=2024-09-13 16:39:24, last_processed_wav_index=16
[DEBUG] wav_idx=18, len(wav_list)=576, start_time=2024-09-13 18:37:47, last_processed_wav_index=0
[DEBUG] start_sample=12876864000, end_sample=12992064000, data_sample_num=12441623168, len(data)=1382403488
[DEBUG] wav_idx=18, len(wav_list)=576, start_time=2024-09-13 18:42:28, last_processed_wav_index=18
